MNXM106	a 1,2-diacyl-sn-glycero-3-phospho-(1D-myo-inositol-3,4,5-trisphosphate)	M_pail345p_cho_c;M_pail345p_cho_g;M_pail345p_cho_n;M_pail345p_cho_r	C11H13O22P4R2		-7	chebi:11284;chebi:14807;chebi:16618;chebi:26039;chebi:57836;chebi:8136;chebi:83243;bigg:M_pail345p_cho;bigg:pail345p_cho;deprecated:MNXM75113;deprecated:MNXM9021;deprecated:MNXM91272;hmdb:HMDB04249;kegg:C05981;metacyc:PHOSPHATIDYLINOSITOL-345-TRIPHOSPHATE;reactome:179838;reactome:38117;sabiork:8317;seed:cpd12802;slm:000000925
MNXM1062	2-acetamido-5-oxopentanoate	M_acg5sa_m	C7H10NO4	172.1591	-1	chebi:11493;chebi:12461;chebi:12577;chebi:16319;chebi:21551;chebi:29123;chebi:7152;bigg:M_acg5sa;bigg:acg5sa;hmdb:HMDB06488;kegg:C01250;metacyc:CPD-469;sabiork:2267;seed:cpd00918
MNXM1063	2-deoxy-D-ribose 1-phosphate	M_2dr1p_c	C5H9O7P	212.0956	-2	chebi:1081;chebi:19558;chebi:28542;chebi:58576;bigg:2dr1p;bigg:M_2dr1p;deprecated:MNXM90624;deprecated:MNXM96510;hmdb:HMDB01351;kegg:C00672;reactome:112032;sabiork:1345;seed:cpd00509;seed:cpd26845
MNXM1066	5alpha-pregnane-3,20-dione	M_C03681_c	C21H32O2	316.4776	0	chebi:12175;chebi:20657;chebi:2144;chebi:28952;bigg:C03681;bigg:M_C03681;kegg:C03681;lipidmaps:LMST02030170;metacyc:CPD-293;sabiork:6790;seed:cpd02312;slm:000485382
MNXM107	nitrite	M_no2_c;M_no2_e;M_no2_l;M_no2_n	NO2	46.006	-1	chebi:14658;chebi:16301;chebi:25567;chebi:44396;chebi:7585;bigg:M_no2;bigg:no2;deprecated:MNXM93693;envipath:32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/compound/84af9b8c-5f58-4093-85cb-964ba8ed40b7;hmdb:HMDB02786;kegg:C00088;metacyc:NITRITE;reactome:1222379;sabiork:3058;seed:cpd00075
MNXM10720	Antipyrene	M_antipyrene_c;M_antipyrene_e	C11H12N2O		0	bigg:M_antipyrene;bigg:antipyrene
MNXM10780	docosanoyl-CoA	M_docoscoa_c;M_docoscoa_m;M_docoscoa_n;M_docoscoa_x	C43H74N7O17P3S	1086.073	-4	chebi:65059;chebi:65088;bigg:M_docoscoa;bigg:docoscoa;deprecated:MNXM51438;deprecated:MNXM93206;hmdb:HMDB12930;kegg:C16528;lipidmaps:LMFA07050289;metacyc:CPD-10279;reactome:5695963;sabiork:20020;seed:cpd16343;slm:000000587
MNXM108	hexadecanoate	M_hdca_c;M_hdca_e;M_hdca_x	C16H31O2	255.4167	-1	chebi:14730;chebi:15756;chebi:231736;chebi:233028;chebi:24540;chebi:24541;chebi:24542;chebi:24550;chebi:29889;chebi:35978;chebi:44952;chebi:7896;bigg:M_hdca;bigg:hdca;deprecated:MNXM89645;envipath:32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/compound/dc7314a1-8e9a-410f-be4f-f7d8bf32b1cb;hmdb:HMDB00220;hmdb:HMDB60083;kegg:C00249;kegg:D05341;lipidmaps:LMFA01010001;metacyc:PALMITATE;reactome:2453691;reactome:3632881;reactome:390435;reactome:426576;reactome:5690516;reactome:76168;sabiork:1990;seed:cpd00214;slm:000000510
MNXM10864	Cca d3	M_cca_d3_c;M_cca_d3_e;M_cca_d3_m	C23H33O4		-1	bigg:M_cca_d3;bigg:cca_d3
MNXM10881	CO	M_co_c;M_co_e	CO	28.0101	0	chebi:13281;chebi:17245;chebi:23013;chebi:3282;chebi:41526;chebi:58072;bigg:M_co;bigg:co;deprecated:MNXM299;deprecated:MNXM90082;deprecated:MNXM90162;deprecated:MNXM90407;envipath:32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/compound/a0a5ff93-8a43-48da-aab5-cef2c628da42;hmdb:HMDB01361;kegg:C00237;kegg:D03398;kegg:D09706;metacyc:CARBON-MONOXIDE;reactome:189385;sabiork:1987;seed:cpd00204
MNXM1089	P(1),P(4)-bis(5'-adenosyl) tetraphosphate	M_ap4a_c	C20H24N10O19P4	832.3574	-4	chebi:12726;chebi:12729;chebi:17422;chebi:21998;chebi:58141;chebi:7875;bigg:M_ap4a;bigg:ap4a;deprecated:MNXM510827;deprecated:MNXM66267;hmdb:HMDB01211;hmdb:HMDB06502;kegg:C01260;metacyc:ADENOSYL-P4;sabiork:1707;seed:cpd00924
MNXM10936	Cs a deg1	M_cs_a_deg1_l	C45H68N2O43S2		-4	bigg:M_cs_a_deg1;bigg:cs_a_deg1
MNXM10937	Cs a deg4	M_cs_a_deg4_l	C31H49NO29S		-2	bigg:M_cs_a_deg4;bigg:cs_a_deg4
MNXM10938	Cs a deg5	M_cs_a_deg5_l	C23H36O24S		-2	bigg:M_cs_a_deg5;bigg:cs_a_deg5
MNXM10939	Cs b pre4	M_cs_b_pre4_g	C45H67N2O42S2X		-4	bigg:M_cs_b_pre4;bigg:cs_b_pre4
MNXM10940	Cs b pre5	M_cs_b_pre5_g	C45H66N2O45S3X		-5	bigg:M_cs_b_pre5;bigg:cs_b_pre5
MNXM10941	Cs b deg1	M_cs_b_deg1_l	C45H67N2O46S3		-5	bigg:M_cs_b_deg1;bigg:cs_b_deg1
MNXM10942	Cs b deg3	M_cs_b_deg3_l	C37H55NO38S2		-4	bigg:M_cs_b_deg3;bigg:cs_b_deg3
MNXM10943	Cs c deg1	M_cs_c_deg1_l	C45H68N2O43S2		-4	bigg:M_cs_c_deg1;bigg:cs_c_deg1
MNXM10944	Cs c deg4	M_cs_c_deg4_l	C31H49NO29S		-2	bigg:M_cs_c_deg4;bigg:cs_c_deg4
MNXM10945	Cs c pre2	M_cs_c_pre2_g	C37H54NO37S2X		-4	bigg:M_cs_c_pre2;bigg:cs_c_pre2
MNXM10946	Cs c pre3	M_cs_c_pre3_g	C45H67N2O42S2X		-4	bigg:M_cs_c_pre3;bigg:cs_c_pre3
MNXM10947	Cs d pre2	M_cs_d_pre2_g	C31H46NO34S3X		-4	bigg:M_cs_d_pre2;bigg:cs_d_pre2
MNXM10948	Cs d deg1	M_cs_d_deg1_l	C45H66N2O49S4		-6	bigg:M_cs_d_deg1;bigg:cs_d_deg1
