,name,formula,mw,chebi,hmdb,kegg,lipidmaps,seed,metacyc,sabiork,reactome,mnxm,bigg
CE6191,18E-20-oxo-20-CoA-LTE4,C44H62N8O22P3S2,,,HMDB12610,,LMFA07050085,,,,,MNXM33780,CE6191_x;CE6191;M_CE6191
CE6192,18(R)-hydroxy-20-oxo-20-CoA-LTE4,C44H64N8O23P3S2,,,HMDB12605,,,,,,,MNXM33739,CE6192_x;CE6192;M_CE6192
CE6193,18-carboxy-dinor-LTE4,C21H29NO7S,439.524,74017,HMDB12607,,LMFA03020056;LMFA03020057,,,,,MNXM33749,CE6193_x;CE6193;M_CE6193
CE6198,"16,18-oxo-18-CoA-dinor-LTE4",C42H60N8O23P3S2,,,HMDB12594,,,,,,,MNXM33508,CE6198_x;CE6198;M_CE6198
CE6204,CoA-18-COOH-16E-dinor-LTE5,C42H58N8O22P3S2,,,,,,,,,,MNXM164681,CE6204_x;CE6204;M_CE6204
CE6205,5-methoxytryptophol,C11H13NO2,191.2264,89851,HMDB01896,,,cpd23195,CPD-12021,,,MNXM14897,CE6205_c;CE6205;M_CE6205
CE6219,Gama-tocopheryl quinone,C28H48O3,,,,,,,,,,MNXM167781,CE6219_c;CE6219;M_CE6219
CE6225,16E-18-oxo-18-CoA-dinor-LTE4,C42H60N8O22P3S2,,,HMDB12597,,,,,,,MNXM33579,CE6225_x;CE6225;M_CE6225
CE6226,16(S)-hydroxy-18-oxo-18-CoA-LTE4,C42H62N8O23P3S2,,,HMDB12593,,,,,,,MNXM33496,CE6226_x;CE6226;M_CE6226
CE6227,CoA-18-COOH-15E-dinor-LTE4,C42H60N8O22P3S2,,,HMDB12911,,,,,,,MNXM47393,CE6227_x;CE6227;M_CE6227
CE6228,13E-tetranor-16-oxo-16-CoA-LTE4,C40H56N8O22P3S2,,,HMDB12576,,LMFA07050084,,,,,MNXM33354,CE6228_x;CE6228;M_CE6228
CE6229,13E-tetranor-16-carboxy-LTE4,C19H25NO7S,411.47,74057,HMDB12575,,LMFA03020051,,,,,MNXM150224,CE6229_x;CE6229;M_CE6229
CE6230,"15-hydroperoxyeicosa-8Z,11Z,13E-trienoate",C20H33O4,,,HMDB60106,,,,,,,MNXM150211,CE6230_c;CE6230;M_CE6230
CE6232,Prostaglandin G1,C20H33O6,369.473,133084;133793,HMDB13039,,,,,,,MNXM78299,CE6232_c;CE6232;M_CE6232
CE6234,Prostaglandin H1,C20H33O5,353.4736,90793;91133,HMDB13041,,LMFA03010044,,,,,MNXM78300,CE6234_c;CE6234;M_CE6234
CE6235,S-(PGA2)-glutathione,C30H45N3O10S,,,HMDB13062,,,,,,,MNXM81249,CE6235_c;CE6235;M_CE6235
CE6240,9-deoxy-delta12-PGD2,C20H31O4,,,HMDB60103,,,,,,,MNXM151627,CE6240_c;CE6240;M_CE6240
CE6241,S-(9-deoxy-delta12-PGD2)-glutathione,C30H47N3O10S,,,HMDB13057,,,,,,,MNXM81238,CE6241_c;CE6241;M_CE6241
CE6242,S-(PGJ2)-glutathione,C30H45N3O10S,,,HMDB13063,,,,,,,MNXM81250,CE6242_c;CE6242;M_CE6242
CE6243,"S-(9-deoxy-delta9,12-PGD2)-glutathione",C30H45N3O10S,,,HMDB13058,,,,,,,MNXM81239,CE6243_c;CE6243;M_CE6243
CE6244,S-(11-hydroxy-9-deoxy-delta12-PGD2)-glutathione,C30H49N3O10S,,,HMDB13055,,,,,,,MNXM81225,CE6244_c;CE6244;M_CE6244
CE6245,"S-(11-OH-9-deoxy-delta9,12-PGD2)-glutathione",C30H47N3O10S,,,HMDB13056,,,,,,,MNXM81226,CE6245_c;CE6245;M_CE6245
CE6247,"5,12,20-TriHETE",C20H31O5,,,,,,,,,,MNXM164328,CE6247_c;CE6247;M_CE6247
CE6248,20-OH-hepoxilin A3,C20H31O5,,,,,,,,,,MNXM164165,CE6248_c;CE6248;M_CE6248
CE6250,Hepoxilin A3-C,C30H47N3O10S,,,,,,,,,,MNXM163405,CE6250_c;CE6250;M_CE6250
CE6251,"12,20-DiHETE",C20H31O4,335.4583,90719;90990,HMDB60105,,,,,,,MNXM150181,CE6251_c;CE6251;M_CE6251
CE6316,"N,N-dimethyldopaminequinone",C10H14NO2,,,,,,,,,,MNXM163443,CE6316_c;CE6316;M_CE6316
CE6317,"N,N-dimethylindoliumolate",C10H12NO2,,,HMDB60063,,,,,,,MNXM158251,CE6317_c;CE6317;M_CE6317
CE6415,11-HpODE,C18H31O4,311.4369,10943;15657;266;57467,HMDB62281,C07338,LMFA02000115,cpd04541,CPD0-2064,,,MNXM4154,CE6415_c;CE6415;M_CE6415
CE6420,8-peroxy-docosahexaenoate,C22H30O4,,,,,,,,,,MNXM166710,CE6420_c;CE6420;M_CE6420
CE6423,11-peroxy-docosahexaenoate,C22H30O4,,,HMDB62285,,,,,,,MNXM163639,CE6423_c;CE6423;M_CE6423
CE6426,7-peroxy-docosahexaenoate,C22H30O4,,,,,,,,,,MNXM164389,CE6426_c;CE6426;M_CE6426
CE6429,14-peroxy-docosahexaenoate,C22H30O4,,,,,,,,,,MNXM163646,CE6429_c;CE6429;M_CE6429
CE6435,17-peroxy-docosahexaenoate,C22H30O4,,,,,,,,,,MNXM164067,CE6435_c;CE6435;M_CE6435
CE6438,16-peroxy-docosahexaenoate,C22H30O4,,,,,,,,,,MNXM164063,CE6438_c;CE6438;M_CE6438
CE6444,4-hydroperoxy-H4-neuroprostane,C22H31O6,,,,,,,,,,MNXM163681,CE6444_c;CE6444;M_CE6444
CE6445,7-hydroperoxy-H4-neuroprostane,C22H31O6,,,,,,,,,,MNXM163697,CE6445_c;CE6445;M_CE6445
CE6446,11-hydroperoxy-H4-neuroprostane,C22H31O6,,,HMDB62282,,,,,,,MNXM163637,CE6446_c;CE6446;M_CE6446
CE6447,10-hydroperoxy-H4-neuroprostane,C22H31O6,,,HMDB62274,,,,,,,MNXM163636,CE6447_c;CE6447;M_CE6447
CE6448,14-hydroperoxy-H4-neuroprostane,C6H7BO2,121.93,38271;44922;44923,HMDB62292,C16200,,cpd14919,,,,MNXM12638,CE6448_c;CE6448;M_CE6448
CE6449,13-hydroperoxy-H4-neuroprostane,C22H31O6,,,,,,,,,,MNXM163645,CE6449_c;CE6449;M_CE6449
CE6450,17-hydroperoxy-H4-neuroprostane,C22H31O6,,,,,,,,,,MNXM163648,CE6450_c;CE6450;M_CE6450
CE6451,20-hydroperoxy-H4-neuroprostane,C22H31O6,,,,,,,,,,MNXM163661,CE6451_c;CE6451;M_CE6451
CE6452,4-hydroxy-E4-neuroprostane,C22H31O5,,,,,,,,,,MNXM166383,CE6452_c;CE6452;M_CE6452
CE6453,4-hydroxy-D4-neuroprostane,C22H31O5,,,HMDB12777,,,,,,,MNXM37505,CE6453_c;CE6453;M_CE6453
CE6454,7-hydroxy-E4-neuroprostane,C22H31O5,,,,,,,,,,MNXM166677,CE6454_c;CE6454;M_CE6454
CE6455,7-hydroxy-D4-neuroprostane,C22H31O5,,,HMDB12855,,,,,,,MNXM39112,CE6455_c;CE6455;M_CE6455
CE6456,11-hydroxy-E4-neuroprostane,C22H31O5,,,HMDB62284,,,,,,,MNXM165516,CE6456_c;CE6456;M_CE6456
CE6457,11-hydroxy-D4-neuroprostane,C22H31O5,,,HMDB62283,,,,,,,MNXM165515,CE6457_c;CE6457;M_CE6457
CE6458,10-hydroxy-E4-neuroprostane,C22H31O5,,,HMDB62276,,,,,,,MNXM723021,CE6458_c;CE6458;M_CE6458
CE6459,10-hydroxy-D4-neuroprostane,C22H31O5,,,HMDB62275,,,,,,,MNXM164048,CE6459_c;CE6459;M_CE6459
CE6460,14-hydroxy-E4-neuroprostane,C22H31O5,,,HMDB12580,,,,,,,MNXM33372,CE6460_c;CE6460;M_CE6460
CE6461,14-hydroxy-D4-neuroprostane,C22H31O5,,,,,,,,,,MNXM165538,CE6461_c;CE6461;M_CE6461
CE6462,13-hydroxy-E4-neuroprostane,C22H31O5,,,,,,,,,,MNXM165534,CE6462_c;CE6462;M_CE6462
CE6463,13-hydroxy-D4-neuroprostane,C22H31O5,,,,,,,,,,MNXM165533,CE6463_c;CE6463;M_CE6463
CE6464,17-hydroxy-E4-neuroprostane,C22H31O5,,,HMDB12601,,,,,,,MNXM33609,CE6464_c;CE6464;M_CE6464
CE6465,17-hydroxy-D4-neuroprostane,C22H31O5,,,,,,,,,,MNXM165543,CE6465_c;CE6465;M_CE6465
CE6466,20-hydroxy-E4-neuroprostane,C22H31O5,,,HMDB12638,,,,,,,MNXM35491,CE6466_c;CE6466;M_CE6466
CE6467,20-hydroxy-D4-neuroprostane,C22H31O5,,,,,,,,,,MNXM166019,CE6467_c;CE6467;M_CE6467
CE6504,"1-hydroperoxy-8-carboxyoctyl 3,4-epoxynon-(2E)-enyl ether",C4H10O,74.1216,23991;31565;35702,HMDB62326,,,,DIETHYLETHER,,,MNXM50593,CE6504_c;CE6504;M_CE6504
CE6506,"3,4-epoxynonanal",C9H16O2,,,HMDB60286,,,,,,,MNXM150783,CE6506_c;CE6506;M_CE6506
CE6508,5-hydroperoxy-EPA,C20H29O4,,,,,,,,,,MNXM163212,CE6508_c;CE6508;M_CE6508
CE7047,Gama-tocopheroxyl radical,C28H47O2,,,,,,,,,,MNXM164787,CE7047_c;CE7047;M_CE7047
CE7072,13'-carboxy-gama-tocotrienol,C28H39O4,,,,,,,,,,MNXM164056,CE7072_c;CE7072;M_CE7072
CE7074,13'-hydroxy-gama-tocotrienol,C28H42O3,,,,,,,,,,MNXM164057,CE7074_c;CE7074;M_CE7074
CE7079,Leukotriene A5,C20H27O3,,,,,,,,,,MNXM163421,CE7079_c;CE7079;M_CE7079
CE7081,15(R)-HEPE,C20H29O3,317.443,90819;91140,HMDB62293,,LMFA03070037,,,,,MNXM33481,CE7081_n;CE7081;M_CE7081
CE7082,15(S)-HEPE,C20H29O3,317.443,132087;88347,HMDB62296,,LMFA03070009,,,,,MNXM33490,CE7082_c;CE7082;M_CE7082
CE7083,Leukotriene B5,C20H29O4,333.4424,133302;88493,HMDB05073,,LMFA03020010,,,,,MNXM59982,CE7083_c;CE7083;M_CE7083
CE7084,"5,12-dihydroxy-6E-LTB5",C20H29O4,,,,,,,,,,MNXM166518,CE7084_c;CE7084;M_CE7084
CE7085,5-HEPE; 5-hydroxyeicosapentaenoate,C20H29O3,,,,,,,,,,MNXM163687,CE7085_c;CE7085;M_CE7085
CE7086,Leukotriene C5,C30H43N3O9S,,,HMDB12993,,,,,,,MNXM59983,CE7086_c;CE7086;M_CE7086
CE7087,Leukotriene D5,C25H37N2O6S,,,HMDB12994,,LMFA03020073,,,,,MNXM59985,CE7087_c;CE7087;M_CE7087
CE7088,PGH3,C20H29O5,349.4418,133134;134407,HMDB13040,,,,,,,MNXM74716,CE7088_c;CE7088;M_CE7088
CE7090,18R-HEPE,C20H29O3,317.443,81563;90818,HMDB12611;HMDB62222,C18177,LMFA03070025,cpd19447,CPD66-68,,,MNXM33782,CE7090_c;CE7090;M_CE7090
CE7091,15(R)-hydroperoxy-EPE,C8H18N2O4S,238.305,32949;42332;42334;46755;46757,HMDB62295,,,,,,,MNXM34762,CE7091_c;CE7091;M_CE7091
CE7096,"5,15-DiHETE",C20H31O4,335.4583,72867,HMDB10216,,LMFA03060107,,,,,MNXM164329,CE7096_c;CE7096;M_CE7096
CE7097,"5-oxo-12(S)-hydroxy-eicosa-6E,8Z,10E,14Z-tetraenoate",C20H29O4,,,,,,,,,,MNXM162741,CE7097_c;CE7097;M_CE7097
CE7101,8alpha-hydroxy-gama-tocopherone,C28H48O3,,,HMDB60143,,,,,,,MNXM151611,CE7101_c;CE7101;M_CE7101
CE7109,"5(S),6(S)-epoxy-15(R)-HEPE",C20H27O4,,,,,,,,,,MNXM162636,CE7109_c;CE7109;M_CE7109
CE7110,"5,6-epoxy,18R-HEPE",C20H27O4,,,HMDB62410,,,,,,,MNXM163684,CE7110_c;CE7110;M_CE7110
CE7111,5-oxo-EPE,C20H27O3,,,,,,,,,,MNXM164348,CE7111_c;CE7111;M_CE7111
CE7112,15-epi-lipoxin A5,C20H29O5,,,,,,,,,,MNXM163647,CE7112_c;CE7112;M_CE7112
CE7113,15-epi-lipoxin B5,C20H29O5,,,HMDB12588,,LMFA03020053,,,,,MNXM33429,CE7113_c;CE7113;M_CE7113
CE7114,"5,12,18R-TriHEPE",C20H29O5,,,HMDB60096,,,,,,,MNXM166517,CE7114_c;CE7114;M_CE7114
CE7115,20-hydroxy-leukotriene B5,C20H29O5,,,,,,,,,,MNXM164164,CE7115_c;CE7115;M_CE7115
CE7144,13'-hydroxy-alpha-tocotrienol,C29H44O3,,,HMDB12560,,,,,,,MNXM33318,CE7144_c;CE7144;M_CE7144
CE7145,13'-carboxy-alpha-tocotrienol,C29H41O4,,,HMDB12556,,,,,,,MNXM33314,CE7145_c;CE7145;M_CE7145
CE7172,"14,15-DiHETE",C20H31O4,335.4583,88459,HMDB10204,,LMFA03060077,,,,,MNXM33360,CE7172_c;CE7172;M_CE7172
CE7218,S-[2-carboxy-1-(1H-imidazol-4-yl)ethyl]-3-thiolactate,C9H10N2O5S,,,,,,,,,,MNXM169049,CE7218_c;CE7218;M_CE7218
CE7220,S-[2-carboxy-1-(1H-imidazol-4-yl)ethyl]glutathione,C16H21N5O8S,,,,,,,,,,MNXM169050,CE7220_c;CE7220;M_CE7220
CN0009,"Benzo[a]pyrene-2,3-diol",X,,,,,,,,,,MNXM163759,CN0009_c;CN0009;M_CN0009
CN0010,"Benzo[a]pyrene-4,5-diol",X,,,,,,,,,,MNXM163760,CN0010_c;CN0010;M_CN0010
CN0011,"Benzo[a]pyrene-9,10-diol",X,,,,,,,,,,MNXM163761,CN0011_c;CN0011;M_CN0011
CN0012,"Benzo[a]pyrene-2,3-oxide",X,,,,,,,,,,MNXM162933,CN0012_c;CN0012;M_CN0012
CN0016,"Dibenzo[a,l]pyrene",C24H14,302.368,35861,HMDB60116,C19174,,cpd20432,,,,MNXM50427,CN0016_c;CN0016;M_CN0016
CN0017,"Dibenzo[a,l]pyrene-11,12-epoxide",X,,,,,,,,,,MNXM162957,CN0017_c;CN0017;M_CN0017
CN0018,"Dibenzo[a,l]pyrene-11,12-diol",X,,,,,,,,,,MNXM162956,CN0018_c;CN0018;M_CN0018
CN0019,"Dibenzo[a,l]pyrene-11,12-diol-13,14-epoxide",X,,,,,,,,,,MNXM164731,CN0019_c;CN0019;M_CN0019
CN0020,"7,12-Dimethylbenz[a]anthracene",C20H16,256.341,254496;59032,HMDB62429,C19488,,cpd20744,,,,MNXM8204,CN0020_c;CN0020;M_CN0020
CN0021,"7,12-Dimethylbenz[a]anthracene-3,4-oxide",X,,,,,,,,,,MNXM162911,CN0021_c;CN0021;M_CN0021
CN0022,"7,12-Dimethylbenz[a]anthracene-3,4-diol",X,,,,,,,,,,MNXM162910,CN0022_c;CN0022;M_CN0022
CN0023,"7,12-Dimethylbenz[a]anthracene-3,4-diol-1,2-epoxide",X,,,,,,,,,,MNXM164384,CN0023_c;CN0023;M_CN0023
HC00004,ApoA1,X,,,,,,,,,,MNXM163754,HC00004_c;HC00004;M_HC00004
HC00229,Isomaltose,C12H22O11,342.2965,24901;28189;6026,HMDB02923,C00252;G01318,,cpd00217,Isomaltose,1993,5659875,MNXM58018,HC00229_e;HC00229;M_HC00229;M_isomal;isomal
HC00250,Hydrosulfide,HS,,,,,,,,,,MNXM162964,HC00250_c;HC00250;M_HC00250
HC00319,Malonate; propanedioate,C3H2O4,,,,,,,,,,MNXM163844,HC00319_c;HC00319;M_HC00319
HC00342,"Cis-aconitate(3-); (1Z)-prop-1-ene-1,2,3-tricarboxylat",C6H3O6,,,,,,,,,,MNXM162425,HC00342_c;HC00342;M_HC00342
HC00361,"Sedoheptulose 1,7-bisphosphate(4-)",C7H12O13P2,,,,,,,,,,MNXM163895,HC00361_c;HC00361;M_HC00361
HC00460,"2,5-dihydroxybenzoate",C7H5O4,153.1127,11451;17189;19381;19382;58044;936,HMDB00152,C00628,,cpd00479,CPD-633,2123,,MNXM850,HC00460_c;HC00460;M_HC00460
HC00576,Homocarnosine,C10H16N4O3,240.25900000000001,24607;28050;5750,HMDB00745,C00884,,cpd00657,CPD-12185,5297,,MNXM56612,HC00576_c;HC00576;M_HC00576;M_hcarn;hcarn
HC00591,2-oxoglutaramate,C5H6NO4,144.106,11637;1252;16769;19746;19747;30882,HMDB01552,C00940,,cpd00695,2-KETO-GLUTARAMATE,2193,893598,MNXM575,HC00591_c;HC00591;M_HC00591
HC00664,D-tagatofuranose 6-phosphate(2-),C6H11O9P,,,,,,,,,,MNXM164716,HC00664_c;HC00664;M_HC00664
HC00682,S-Acetyldihydrolipoamide,C10H19NO2S2,249.393,12738;16807;22029;8940,HMDB01526;HMDB06951,C01136,LMFA08010023,cpd00836,S-ACETYLDIHYDROLIPOAMIDE,1354,,MNXM4815,HC00682_m;HC00682;M_HC00682;M_adhlam;adhlam
HC00718,N-methylethanolaminium phosphate(1-),C3H9NO4P,154.0822,12608;16463;21764;57781;7314,HMDB60173,C01210,,cpd00888,CPD-406,5447,,MNXM1491,HC00718_c;HC00718;M_HC00718
HC00822,Chitobiose,C16H28N2O11,424.4003,28681;3597;701011,HMDB62702,C01674;G10336,,cpd01157,CHITOBIOSE,5722,,MNXM1680,HC00822_e;HC00822;M_HC00822;M_chitob;chitob
HC00832,L-Fuculose,C6H12O5,164.1565,13103;17617;21295;58208;6219,HMDB60267,C01721,,cpd01186,L-FUCULOSE,1604,,MNXM1748,HC00832_c;HC00832;M_HC00832;M_fcl__L;fcl__L
HC00900,Methylmalonate,C4H4O4,116.0733,14603;17453;25317;25319;30860;30861;42270;6881,HMDB00202,C02170,LMFA01170118,cpd01468,CPD-546,2376,,MNXM1572,HC00900_c;HC00900;M_HC00900;M_mm;M_mmal;mm;mmal
HC00955,L-3-Cyanoalanine,C4H6N2O2,114.1026,11772;11773;13061;1477;16934;19989;57954;77860,HMDB60245,C02512,,cpd01651,CPD-603,2431,,MNXM1014,HC00955_e;HC00955;M_HC00955
HC01104,4-nitrophenyl phosphate(2-),C6H4NO6P,217.0739,12035;163877;17440;1915;20458;40049;61146,HMDB60272,C03360,,cpd02135,CPD-194,1743,,MNXM3867,HC01104_e;HC01104;M_HC01104
HC01115,NeuNGc,C11H18NO10,324.2619,21729;29025;7286,HMDB00833;HMDB62502,C03410,,cpd02155,CPD-273,6609,,MNXM5842,HC01115_c;HC01115;M_HC01115
HC01161,Apo-ACP,HOR,,,,,,cpd12370;cpd29672,,,,MNXM2214,HC01161_c;HC01161;M_HC01161;M_apoACP;apoACP
HC01162,"(2R,4S,5R,6R)-2-[({[(2R,3S,4R,5R)-5-(4-amino-2-oxo-1,2-dihydropyrimidin-1-yl)-3,4-dihydroxyoxolan-2-yl]methoxy}phosphinato)oxy]-4-hydroxy-5-(2-hydroxyacetamido)-6-[(1R,2R)-1,2,3-trihydroxypropyl]oxane-2-carboxylate",C20H29N4O17P,,,,,,,,,,MNXM163617,HC01162_c;HC01162;M_HC01162
HC01180,"D-tagatofuranose 1,6-bisphosphate(4-)",C6H10O12P2,,,,,,,,,,MNXM164715,HC01180_c;HC01180;M_HC01180
HC01231,N-[(R)-pantothenoyl]-L-cysteinate,C12H21N2O6S,321.37,12439;18416;21462;21463;58480;7081,HMDB06834,C04079,,cpd02524;cpd24515,CPD-46,,,MNXM3059,HC01231_c;HC01231;M_HC01231;M_ptcys;ptcys
HC01254,"6-Lactoyl-5,6,7,8-tetrahydropterin",C9H13N5O3,239.2312,12222;136565;17248;20738;2207,HMDB02065,C04244,,cpd02608,6-LACTOYL-5678-TETRAHYDROPTERIN,,,MNXM1902,HC01254_c;HC01254;M_HC01254
HC01376,S-(2-Methylbutanoyl)-dihydrolipoamide,C13H25NO2S2,291.473,22012;28692;8929,HMDB06869,C05118,,cpd03045,CPD-941,,,MNXM9096,HC01376_m;2mbdhl;HC01376;M_2mbdhl;M_HC01376
HC01377,S-(3-Methylbutanoyl)-dihydrolipoamide,C13H25NO2S2,291.473,22014;27462;8931,,C05119,,cpd03046,,7748,,MNXM5589,HC01377_m;3mbdhl;HC01377;M_3mbdhl;M_HC01377
HC01434,Oxalatosuccinate(3-),C6H3O7,187.0855,58931;7815,HMDB03974,C05379,,cpd03187,OXALO-SUCCINATE,2782,,MNXM1289,HC01434_c;HC01434;M_HC01434
HC01435,3-Carboxy-1-hydroxypropyl-ThPP,C16H21N4O10P2S,523.373,1463,HMDB06744,C05381,,cpd03189,,,,MNXM3480,HC01435_m;HC01435;M_HC01435
HC01440,3-Keto-beta-D-galactose,C6H10O6,178.14,1566;20095;27453,,C05394,,cpd03193,CPD-1242,,,MNXM4339,HC01440_e;HC01440;M_HC01440
HC01441,Lactose-6P,C12H21O14P,,,,,,,LACTOSE-6P,,,MNXM163840,HC01441_e;HC01441;M_HC01441
HC01444,Galactosylglycerol,,,24168,HMDB06790;HMDB06864;HMDB06934,,,cpd03197,,,,MNXM54174,HC01444_e;HC01444;M_HC01444;M_ggl;ggl
HC01446,3-Ketolactose,C12H20O11,340.2806,1567;20097;27571,HMDB01030,C05403;G10531,,cpd03199,3-KETOLACTOSE,,,MNXM36578,HC01446_e;HC01446;M_HC01446
HC01459,"3alpha,7alpha,12alpha,24-Tetrahydroxy-5beta-cholestanoyl-CoA",C48H76N7O21P3S,1212.14,1691;20213;27458,,C05450,LMFA07050202,cpd03233,,,193741;193793,MNXM827,HC01459_x;HC01459;M_HC01459
HC01522,Gentisate aldehyde,C7H6O3,138.1207,24217;28508;50203;5322,HMDB04062,C05585,,cpd03315,CPD-16722,,,MNXM4270,HC01522_c;HC01522;M_HC01522
HC01577,Gamma-Glutamyl-beta-cyanoalanine,C9H12N3O5,242.2092,10565,HMDB60478,C05711,,cpd03407,,,,MNXM11629,HC01577_e;HC01577;M_HC01577
HC01609,Uroporphyrinogen I(8-),C40H36N4O16,,,,,,,,,,MNXM165232,HC01609_e;HC01609;M_HC01609
HC01651,Formamidopyrimidine nucleoside triphosphate,C10H15N5O15P3,538.1735,24080;27985;5144,HMDB06822,C05922,,cpd03518,,,,MNXM53766,HC01651_c;HC01651;M_HC01651
HC01652,"2,5-Diaminopyrimidine nucleoside triphosphate",C9H14N5O14P3,509.156,929,HMDB06821,C05923,,cpd03519,,,,MNXM2773,HC01652_c;HC01652;M_HC01652
HC01668,Propinol adenylate,,,,HMDB06806,,,cpd29819,,,,MNXM163561,HC01668_c;HC01668;M_HC01668
HC01672,Acetyl adenylate,C12H15N5O8P,388.2505,1951;2405;37666,HMDB06880;HMDB06947,C05993,,cpd03566,ACETYL_AMP,,,MNXM4377,HC01672_c;HC01672;M_HC01672
HC01700,Gamma-Glutamyl-3-aminopropiononitrile,C8H13N3O3,199.2071,10564;24192;28092,HMDB60477,C06114,,cpd03646,,,,MNXM8633,HC01700_e;HC01700;M_HC01700
HC01710,"2,5-Diamino-6-(5-triphosphoryl-3,4-trihydroxy-2-oxopentyl)- amino-4-oxopyrimidine",,,19367;28003;926,HMDB06823,C06148,,cpd03666,,,,MNXM4269,HC01710_c;HC01710;M_HC01710
HC01712,S-Glutaryldihydrolipoamide,C13H22NO4S2,320.449,22047;28391;8958,HMDB06832,C06157,,cpd03672;cpd16497,,,,MNXM81222,HC01712_m;HC01712;M_HC01712;M_S_gtrdhdlp;S_gtrdhdlp
HC01787,Lepidimoide,C12H18NaO10,345.2545,,,,,cpd05159,,,,MNXM95193,HC01787_c;HC01787;M_HC01787
HC01797,Activated methyl group,,,,,C10905,,cpd13342,,,,MNXM2964,HC01797_c;HC01797;M_HC01797
HC01842,Phosphodimethylethanolamine,C4H11NO4P,168.1088,31997;58641,HMDB60244,C13482,,cpd09444,CPD-5441,15462,,MNXM2261,HC01842_c;HC01842;M_HC01842
HC02020,Cholesterol-ester-palm,C43H76O2,,,,,,,,,,MNXM163779,HC02020_l;HC02020;M_HC02020
HC02021,Cholesterol-ester-palmn,C43H74O2,,,,,,,,,,MNXM164676,HC02021_r;HC02021;M_HC02021
HC02023,Cholesterol-ester-ol,C45H78O2,,,,,,,,,,MNXM163778,HC02023_l;HC02023;M_HC02023
HC02024,Cholesterol-ester-lin,C45H76O2,,,,,,,,,,MNXM163777,HC02024_l;HC02024;M_HC02024
HC02025,Cholesterol-ester-ala,C45H74O2,,,,,,,,,,MNXM164674,HC02025_r;HC02025;M_HC02025
HC02026,Cholesterol-ester-gla,C45H74O2,,,,,,,,,,MNXM164675,HC02026_r;HC02026;M_HC02026
HC02027,Cholesterol-ester-arach,C47H76O2,,,,,,,,,,MNXM163776,HC02027_l;HC02027;M_HC02027
HC02111,ATP-energy,X,,,,,,,,,,MNXM164571,HC02111_c;HC02111;M_HC02111
HC02112,NADH-redox-potential,X,,,,,,,,,,MNXM163520,HC02112_c;HC02112;M_HC02112
HC02113,NADPH-redox-potential,X,,,,,,,,,,MNXM163521,HC02113_c;HC02113;M_HC02113
HC02114,FADH-redox-potential,X,,,,,,,,,,MNXM167729,HC02114_c;HC02114;M_HC02114
HC02116,Activated-sulphur,X,,,,,,,,,,MNXM166880,HC02116_c;HC02116;M_HC02116
HC02119,Adenosylmethioninamine-potential,X,,,,,,,,,,MNXM166890,HC02119_c;HC02119;M_HC02119
HC02121,S-(hydroxymethyl)glutathione(1-),C11H18N3O7S,,,,,,,,,,MNXM165122,HC02121_c;HC02121;M_HC02121
HC02129,THF-hexaglutamate,X,,,,,,,,,,MNXM165176,HC02129_c;HC02129;M_HC02129
HC02136,Glycogenin-G7G1,X,,,,,,,,,,MNXM164816,HC02136_c;HC02136;M_HC02136
HC02154,GM4-pool,X,,,,,,,,,,MNXM164821,HC02154_c;HC02154;M_HC02154
HC02160,GM2-pool,X,,,,,,,,,,MNXM164819,HC02160_e;HC02160;M_HC02160
HC02161,GM1-pool,X,,,,,,,,,,MNXM164818,HC02161_e;HC02161;M_HC02161
HC02172,Zinc,Zn,65.408,10113;27368;29105;49972;49982,HMDB01303,C00038,,cpd00034,ZN+2,1281,158417;216667;216785;29426;435350;437093;442320,MNXM149,HC02172_c;HC02172;M_HC02172;M_zn2;zn2
HC02180,Thromboxane-b2,C20H33O6,369.473,26994;28728;90696;9576,HMDB03252;HMDB05070,C05963,LMFA03030002;LMFA03030010,cpd03552,,,443890,MNXM87150,HC02180_c;HC02180;M_HC02180
HC02191,Lithocholate,C24H39O3,375.5652,11905;16325;1711;20237;20238;20239;25066;29744,HMDB00761,C03990,LMST04010003,cpd02475,CPD-7235,7001,176655,MNXM886,HC02191_c;HC02191;M_HC02191
HC02192,Taurolithocholate,C26H44NO5S,482.69699999999995,15199;17179;26857;26859;36259;9411,,C02592,LMST05040003,cpd01694,TAUROLITHOCHOLATE,,176565,MNXM2868,HC02192_c;HC02192;M_HC02192
HC02193,Glycolithocholate,C26H42NO4,432.6165,37998;60008,HMDB00698;HMDB02474,C15557,LMST05030009,cpd11226,GLYCOLITHOCHOLATE,23309,,MNXM4602,HC02193_c;HC02193;M_HC02193
HC02194,Ursodeoxycholate,C24H39O4,391.5646,78604;9907,HMDB00946;HMDB15525,C07880;D00734,LMST04010033,cpd04945,CPD-10534,9984,,MNXM146506,HC02194_c;HC02194;M_HC02194
HC02195,Tauroursodeoxycholate,C26H44NO6S,498.69599999999997,132028;132326;80774,HMDB00874,C16868,LMST05040015,cpd17168,CPD-18799,,,MNXM162420,HC02195_c;HC02195;M_HC02195
HC02196,Glycoursodeoxycholate,C26H42NO5,448.6159,132030;89929,HMDB00708,,LMST05030016,,,,,MNXM162410,HC02196_c;HC02196;M_HC02196
