,name,formula,mw,chebi,hmdb,kegg,lipidmaps,seed,metacyc,sabiork,reactome,mnxm,bigg
occoa,Octanoyl-CoA (n-C8:0CoA),C29H46N7O17P3S,889.701,14681;15533;25651;41542;57386;7724,HMDB01070;HMDB06257,C01944,LMFA07050355,cpd01335,CPD-196,2341,390303;77337,MNXM342,occoa_c;M_occoa;occoa
ocdca,Octadecanoate (n-C18:0),C18H35O2,283.4698,231588;25629;25631;28842;45710,HMDB00827,C01530;D00119,LMFA01010018,cpd01080,STEARIC_ACID,20032,428198,MNXM236,ocdca_c;M_ocdca;ocdca
ocdcaACP,Octadecanoyl-ACP (n-C18:0ACP),C402H637O143N96P1S3,,,,,,,,,,MNXM3075,ocdcaACP_c;M_ocdcaACP;ocdcaACP
ocdcea,Octadecenoate (n-C18:1),C18H33O2,281.454,104361;14684;16196;25663;25664;30823;44741;7741,HMDB00207;HMDB02066,C00712;D02315,LMFA01030002,cpd00536,OLEATE-CPD,2139;28897,,MNXM306,ocdcea_c;M_ocdcea;ocdcea
ocdcya,Octadecadienoate  n C182  C18H31O2,C18H31O2,,,,,,,,,,MNXM4069,ocdcya_c;M_ocdcya;ocdcya
ocdcyaACP,Octadecynoyl ACP  n C182ACP  C29H51N2O8PRS,C29H51N2O8PRS,,,,,,,,,,MNXM5248,ocdcyaACP_c;M_ocdcyaACP;ocdcyaACP
ocdececrn,11-octadecenoyl carnitine,C25H47NO4,,,,,,,,,,MNXM163638,ocdececrn_c;M_ocdececrn;ocdececrn
octa,Octanoate (n-C8:0),C8H15O2,143.204,25646;25648;28837;3373;44501,HMDB00482;HMDB62511,C06423;D05220,LMFA01010008,cpd03846,CPD-195,2889,,MNXM750,octa_c;M_octa;octa
octeACP,Cis-octadec-11-enoyl-[acyl-carrier protein] (n-C18:1),C402H635O143N96P1S3,,,,,,,,,,MNXM89950,octeACP_c;M_octeACP;octeACP
od2coa,Trans-Octadec-2-enoyl-CoA,C39H64N7O17P3S,1027.951,50570;71412,HMDB06529;HMDB62633,C16218,LMFA07050385,cpd14937,CPD-10262,18861,548809,MNXM954,od2coa_x;M_od2coa;od2coa
odecoa,Octadecenoyl-CoA (n-C18:1CoA),C39H64N7O17P3S,,,,,,,,,,MNXM1848,odecoa_c;M_odecoa;odecoa
odecrn,Octadecenoyl carnitine,C25H47NO4,,,,,,,,,,MNXM8956,odecrn_c;M_odecrn;odecrn
